taf_00008_00072928033	மற்ற படங்களைப் பற்றிய செய்திகள் எதுவும் வெளிவரவில்லை
taf_00008_01305524612	மனோரமாவிற்கு பூபதி என்ற மகன் உள்ளார்
taf_02345_00348037167	ஆஸ்த்ரேலியப் பெண்ணுக்கு முப்பத்தி மூன்று ஆண்டுகளுக்குப் பின்னர் இந்தியா இழப்பீடு வழங்கியது
taf_02345_01664073518	இமாச்சலப் பிரதேசப் பழங்குடியினர் கிரேக்க மன்னன் அலெக்சாண்டரின் வாரிசுகளா?
taf_09705_01218130267	உங்களுடைய உணவுக் கட்டுப்பாட்டைச் சொன்னால் மற்றவர்களுக்கும் உதவியாக இருக்கும்
taf_09705_00202379033	ஐ பி எல் கிரிக்கெட் போட்டியில் சூதாட்டம் நடந்ததாக குற்றச்சாட்டுகள் எழுந்தது
taf_03219_00712757493	ரஹானே மட்டும் ஆறுதலாக முப்பத்தி ஆறு ரன்கள் குவித்தார்
taf_03219_01437285419	அரசுப் பள்ளிகளில் வழங்கப்படும் கல்வியினை ஆதரிக்கும் பரப்புரை தமிழகத்தில் துவக்கம்
taf_04125_01507228128	பணம் திசை திருப்பப்பட்டதை வங்காளதேசத்தின் கிராமின் வங்கி மறுக்கிறது
taf_04125_00189904551	விஷாலின் ரசிகர் மன்றம் மூலமாக வெள்ள நிவாரணம் வழங்கும் சோனா
tef_01033_00351357063	ఈ వివాదం సెప్టెంబర్ రెండు వేల తొమ్మిదిన పరిష్కారమైనది
tef_01033_00768409265	ప్రెస్ అకాడమీలో వెయ్యి తొమ్మిది వందల అరవై ఎనిమిది సంచిక\n
tef_02828_01625402654	ఒక బ్యాంకు ఒక ప్రాథమిక పాఠశాల ఉన్నాయి
tef_02828_00406037136	అప్పుడీ జిల్లా కేంద్రంగా అమరావతి ఉండేది
tef_08318_01333265498	చాలా గొంగళి పురుగులు షాకాహారులే
tef_08318_00750866960	పిన్ కోడ్ అయిదు లక్షలు మూడు వెలు వంద పదకొండు
tef_04830_00246502215	ప్రిన్సిపాల్ ఒక మొమెంటోతో ప్రవేశించారు
tef_04830_00071399449	కానీ గ్రామాలలో ఉండేవారికి తెలుసు
tef_09281_02034334714	ట్రూమాన్ లైబ్రరీ అండ్ మ్యూజియం
